condition,midi,band,center_freq_hz,level_db
flute,87,1,478.8279082512245,4.632359570772483
flute,87,2,809.6269994405562,47.31340343774494
flute,87,3,1294.4969002249193,64.63333312577805
flute,87,4,2005.9415210019752,33.73012458604379
flute,87,5,3049.6957311016477,36.110582169092254
flute,87,6,4580.83733887449,32.935362873515174
flute,87,7,6826.94806306872,20.599127116494547
flute,87,8,10122.85498989576,16.472976268372832
flute,87,9,14957.456015162068,5.664372276168633
flute,103,0,253.76368639181615,-8.249424834948144
flute,103,1,478.8279082512245,-4.511135852138678
flute,103,2,809.6269994405562,3.1693673992040683
flute,103,3,1294.4969002249193,4.0427738677418805
flute,103,4,2005.9415210019752,21.178751702079055
flute,103,5,3049.6957311016477,64.13944766289886
flute,103,6,4580.83733887449,45.07798320095588
flute,103,7,6826.94806306872,37.30350584726416
flute,103,8,10122.85498989576,34.53363283250209
flute,103,9,14957.456015162068,26.52708502676045
flute,57,0,253.76368639181615,54.79637431255752
flute,57,1,478.8279082512245,55.54017800856133
flute,57,2,809.6269994405562,48.76736106696348
flute,57,3,1294.4969002249193,49.267199865738945
flute,57,4,2005.9415210019752,42.08350494312193
flute,57,5,3049.6957311016477,29.020062125002948
flute,57,6,4580.83733887449,21.49910564845367
flute,57,7,6826.94806306872,15.834772157916579
flute,57,8,10122.85498989576,14.516386942747639
flute,57,9,14957.456015162068,2.1444070558242316
flute,62,0,253.76368639181615,54.197874781242525
flute,62,1,478.8279082512245,55.29448409050923
flute,62,2,809.6269994405562,52.633340800431554
flute,62,3,1294.4969002249193,49.73640476508432
flute,62,4,2005.9415210019752,47.94102508851216
flute,62,5,3049.6957311016477,34.89455948030475
flute,62,6,4580.83733887449,25.810859835550435
flute,62,7,6826.94806306872,19.764390071222742
flute,62,8,10122.85498989576,16.932318951422662
flute,62,9,14957.456015162068,11.767008024197597
flute,76,0,253.76368639181615,21.06335790050041
flute,76,1,478.8279082512245,55.49947891679287
flute,76,2,809.6269994405562,58.14110226953764
flute,76,3,1294.4969002249193,55.464878280712256
flute,76,4,2005.9415210019752,42.82512952029461
flute,76,5,3049.6957311016477,35.71152106517429
flute,76,6,4580.83733887449,28.29225038821704
flute,76,7,6826.94806306872,21.541544180680678
