midi,frequency,condition_flute,condition_harmoniccomplex,condition_viola,condition_viola_complex,centroid,rolloff
81,880.0,True,False,False,False,1754.6569413216248,1773.9488674894887
81,880.0,False,True,False,False,977.7776372641002,881.0
81,880.0,False,False,True,False,2449.4095530865325,3522.6397790055244
81,880.0,False,False,False,True,2011.9799928771372,2642.0
82,932.3275230361796,True,False,False,False,966.7062214002184,942.0102858699848
82,932.3275230361796,False,True,False,False,1035.9281728334408,933.0
82,932.3275230361796,False,False,True,False,2654.5602788454144,3734.9774969314
82,932.3275230361796,False,False,False,True,2295.9028881241593,3735.0
83,987.7666025122484,True,False,False,False,1019.965313936082,997.3453783416402
83,987.7666025122484,False,True,False,False,1097.5192409191195,989.0
83,987.7666025122484,False,False,True,False,2928.39844309048,3960.2858151023297
83,987.7666025122484,False,False,False,True,2471.843129628609,3958.0
84,1046.5022612023945,True,False,False,False,1081.9417650853024,1056.8681628510203
84,1046.5022612023945,False,True,False,False,1162.7802260832627,1047.0
84,1046.5022612023945,False,False,True,False,2304.8131359878016,3149.7478789819115
84,1046.5022612023945,False,False,False,True,1740.8777504723453,3151.0
85,1108.7305239074883,True,False,False,False,1112.923818215838,1110.9551009261995
85,1108.7305239074883,False,True,False,False,1231.9175733307566,1110.0
85,1108.7305239074883,False,False,True,False,2306.8208531284454,3334.7883977900547
85,1108.7305239074883,False,False,False,True,1869.0041551760423,3339.0
86,1174.6590716696303,True,False,False,False,1183.4418043882415,1179.4302220208426
86,1174.6590716696303,False,True,False,False,1305.167030274199,1176.0
86,1174.6590716696303,False,False,True,False,2458.1684703418505,3528.2054268079655
86,1174.6590716696303,False,False,False,True,2034.5137778788717,3492.0
87,1244.5079348883237,True,False,False,False,1253.9216795806246,1249.979608482871
87,1244.5079348883237,False,True,False,False,1382.7864161612265,1245.0
87,1244.5079348883237,False,False,True,False,2230.063093702184,3715.647034425549
87,1244.5079348883237,False,False,False,True,1757.3381382288933,2480.0
88,1318.5102276514797,True,False,False,False,1328.815463311675,1323.8840267931353
88,1318.5102276514797,False,True,False,False,1465.0112238681968,1319.0
88,1318.5102276514797,False,False,True,False,2579.5010754431005,3955.950690515997
88,1318.5102276514797,False,False,False,True,2505.752831466183,2628.0
89,1396.9129257320158,True,False,False,False,1405.317222260109,1401.3518258426966
89,1396.9129257320158,False,True,False,False,1552.1318138888028,1398.0
89,1396.9129257320158,False,False,True,False,2641.9355528135275,4184.188429291522
89,1396.9129257320158,False,False,False,True,2500.9890350095434,2777.0
90,1479.9776908465376,True,False,False,False,1489.3139598048474,1483.4369287020108
90,1479.9776908465376,False,True,False,False,1644.4200602338694,1481.0
90,1479.9776908465376,False,False,True,False,2732.18574231346,4431.368375858685
90,1479.9776908465376,False,False,False,True,2452.2554498516893,4415.0
91,1567.9817439269968,True,False,False,False,1578.0736566535236,1572.4667557710168
91,1567.9817439269968,False,True,False,False,1742.2021582413768,1569.0
91,1567.9817439269968,False,False,True,False,2823.14114456945,4681.170218080988
91,1567.9817439269968,False,False,False,True,2498.646582957121,3125.0
92,1661.2187903197807,True,False,False,False,1675.5241830630885,1668.0856968104383
92,1661.2187903197807,False,True,False,False,1845.7911382106704,1662.0
92,1661.2187903197807,False,False,True,False,3224.0872868065253,4981.263021410523
92,1661.2187903197807,False,False,False,True,2766.665501757238,3310.0
93,1760.0,True,False,False,False,1770.2036650616606,1765.3604890310785
93,1760.0,False,True,False,False,1955.5552656793495,1761.0
93,1760.0,False,False,True,False,3221.434299250841,5249.159596606371
93,1760.0,False,False,False,True,3100.1097379675048,3496.0
94,1864.6550460723593,True,False,False,False,1876.7598401863552,1870.1086593484893
94,1864.6550460723593,False,True,False,False,2071.8293291378804,1866.0
94,1864.6550460723593,False,False,True,False,3550.883118403269,5576.471694671804
94,1864.6550460723593,False,False,False,True,3430.996500608688,3716.0
95,1975.533205024497,True,False,False,False,1987.424123273502,1983.0594120049
95,1975.533205024497,False,True,False,False,2195.036775009334,1977.0
95,1975.533205024497,False,False,True,False,3767.6966576251434,5907.471112540488
95,1975.533205024497,False,False,False,True,3575.1962177357327,3937.0
96,2093.004522404789,True,False,False,False,2106.2362709972513,2099.8448616825403
96,2093.004522404789,False,True,False,False,2325.560289267752,2094.0
96,2093.004522404789,False,False,True,False,3816.319902073468,6250.122546225575
96,2093.004522404789,False,False,False,True,3622.2409568318785,4171.0
97,2217.4610478149766,True,False,False,False,2232.47247582102,2226.7514214600506
97,2217.4610478149766,False,True,False,False,2463.8473538043527,2218.0
97,2217.4610478149766,False,False,True,False,4137.372338929271,6617.042681549098
97,2217.4610478149766,False,False,False,True,3905.341774734716,4405.0
98,2349.318143339261,True,False,False,False,2366.19737496619,2356.698993039129
98,2349.318143339261,False,True,False,False,2610.3596658877213,2350.0
98,2349.318143339261,False,False,True,False,4306.570388083307,7023.301727866688
98,2349.318143339261,False,False,False,True,3713.124201295626,4681.0
99,2489.0158697766474,True,False,False,False,2505.8325519284217,2497.810447116587
99,2489.0158697766474,False,True,False,False,2765.572846665857,2490.0
99,2489.0158697766474,False,False,True,False,4566.015273844404,7433.992850658193
99,2489.0158697766474,False,False,False,True,4242.241021805358,4960.0
