stimulus,band,center_freq_hz,level_db
stim405_whispering.wav,18,14682.333533633406,19.725727418204507
stim405_whispering.wav,19,17997.79594335665,19.564223977246815
stim33_bluegrass.wav,0,172.99803857099127,43.200224043963715
stim33_bluegrass.wav,1,262.4970238432671,39.17136797193699
stim33_bluegrass.wav,2,371.4957880296142,44.568222273926175
stim33_bluegrass.wav,3,504.9942744413329,41.421043024370725
stim33_bluegrass.wav,4,668.4924207208535,40.55757325564787
stim33_bluegrass.wav,5,867.9901588417365,40.58421658173718
stim33_bluegrass.wav,6,1111.4873981020623,42.68794913954374
stim33_bluegrass.wav,7,1409.9840137866918,42.84822753468227
stim33_bluegrass.wav,8,1773.9798868493556,42.26449431490674
stim33_bluegrass.wav,9,2219.4748358862144,44.02776573364025
stim33_bluegrass.wav,10,2763.46866815569,38.905533989079515
stim33_bluegrass.wav,11,3428.9611228897634,40.68243700489628
stim33_bluegrass.wav,12,4241.951905307196,37.14614594105128
stim33_bluegrass.wav,13,5235.940635593701,35.17096019790533
stim33_bluegrass.wav,14,6450.92686023968,29.047268108734134
stim33_bluegrass.wav,15,7936.410018027007,24.825405307138922
stim33_bluegrass.wav,16,9751.389440029025,21.88731066306162
stim33_bluegrass.wav,17,11970.364281584109,18.409314079721824
stim33_bluegrass.wav,18,14682.333533633406,12.760662812785936
stim33_bluegrass.wav,19,17997.79594335665,5.029073395443388
stim155_flag_flapping.wav,0,172.99803857099127,44.89400229521651
stim155_flag_flapping.wav,1,262.4970238432671,45.07677993068949
stim155_flag_flapping.wav,2,371.4957880296142,46.095515048044184
stim155_flag_flapping.wav,3,504.9942744413329,45.091813657719655
stim155_flag_flapping.wav,4,668.4924207208535,44.09918233485301
stim155_flag_flapping.wav,5,867.9901588417365,41.838368757678666
stim155_flag_flapping.wav,6,1111.4873981020623,39.697820947289635
stim155_flag_flapping.wav,7,1409.9840137866918,37.077523248521814
stim155_flag_flapping.wav,8,1773.9798868493556,34.69331505180952
stim155_flag_flapping.wav,9,2219.4748358862144,31.764819444508134
stim155_flag_flapping.wav,10,2763.46866815569,29.318912368913217
stim155_flag_flapping.wav,11,3428.9611228897634,27.10127808845357
stim155_flag_flapping.wav,12,4241.951905307196,23.511560218994475
stim155_flag_flapping.wav,13,5235.940635593701,20.930556651194067
stim155_flag_flapping.wav,14,6450.92686023968,18.836787323407105
stim155_flag_flapping.wav,15,7936.410018027007,15.624886937448668
stim155_flag_flapping.wav,16,9751.389440029025,12.539412632177358
stim155_flag_flapping.wav,17,11970.364281584109,10.596863406192568
stim155_flag_flapping.wav,18,14682.333533633406,9.393029606601315
stim155_flag_flapping.wav,19,17997.79594335665,8.968591235999329
stim186_hammering.wav,0,172.99803857099127,40.88426127440588
stim186_hammering.wav,1,262.4970238432671,37.70667303933051
stim186_hammering.wav,2,371.4957880296142,47.94175679044089
stim186_hammering.wav,3,504.9942744413329,49.0943995957932
stim186_hammering.wav,4,668.4924207208535,44.60398599169075
stim186_hammering.wav,5,867.9901588417365,43.07218198269986
stim186_hammering.wav,6,1111.4873981020623,41.46561643034061
stim186_hammering.wav,7,1409.9840137866918,36.06018399887577
stim186_hammering.wav,8,1773.9798868493556,33.274989051844265
stim186_hammering.wav,9,2219.4748358862144,32.691451799934526
stim186_hammering.wav,10,2763.46866815569,29.214325740607507
stim186_hammering.wav,11,3428.9611228897634,24.664724420507973
stim186_hammering.wav,12,4241.951905307196,20.861825279054607
stim186_hammering.wav,13,5235.940635593701,17.532164754747278
stim186_hammering.wav,14,6450.92686023968,19.917661803775644
stim186_hammering.wav,15,7936.410018027007,20.01208573912499
stim186_hammering.wav,16,9751.389440029025,18.627818716987086
stim186_hammering.wav,17,11970.364281584109,5.123309692911507
stim186_hammering.wav,18,14682.333533633406,-12.002019534204852
stim186_hammering.wav,19,17997.79594335665,-11.33161922917324
stim512_heart_beat.wav,0,172.99803857099127,48.91779295001422
stim512_heart_beat.wav,1,262.4970238432671,49.16559914468663
stim512_heart_beat.wav,2,371.4957880296142,41.009442977575866
stim512_heart_beat.wav,3,504.9942744413329,27.631590554494313
stim512_heart_beat.wav,4,668.4924207208535,15.23512697632388
stim512_heart_beat.wav,5,867.9901588417365,11.132190296100958
stim512_heart_beat.wav,6,1111.4873981020623,6.113338875944053
stim512_heart_beat.wav,7,1409.9840137866918,2.6164837160238106
