condition,midi,f0_hz,elevation,dry_centroid_hz,filtered_centroid_hz,centroid_shift_hz,n_harmonics_found,harmonic_attenuation_db,between_harmonic_attenuation_db,between_minus_harmonic_db,top_notch_1_hz,top_notch_2_hz,mean_notch_harmonic_dist_hz,min_notch_harmonic_dist_hz,mean_notch_misalignment_ratio,n_notches_on_harmonic,n_notches_between_harmonics
viola,74,587.8578534417251,-12.5,2298.514867302621,2574.5222258104145,276.00735850779347,12,-45.20504007168844,-38.25818722361353,6.946852848074904,2243.8356164383563,1812.328767123288,274.4087532775045,26.168530607877074,0.933588797601075,1,15
viola,74,587.8578534417251,0.0,2298.514867302621,2570.382005430698,271.86713812807693,12,-41.245394115585434,-39.0377019710123,2.2076921445731372,2200.6849315068494,1812.328767123288,434.1826974529111,26.168530607877074,1.4771689955689336,1,11
viola,74,587.8578534417251,12.5,2298.514867302621,2584.4670303280272,285.9521630254062,12,-48.893902906685526,-44.40042360693194,4.493479299753588,2200.6849315068494,1898.6301369863015,452.0813824379282,8.975679580478754,1.538063597487495,2,12
viola,74,587.8578534417251,25.0,2298.514867302621,2575.4033119126816,276.88844461006056,12,-53.88080000402982,-40.30148055186336,13.579319452166466,2243.8356164383563,2545.8904109589043,432.4248849529112,40.39055811215803,1.4711885957504793,0,14
viola,89,1397.227676988355,-25.0,3833.488025146412,3203.6904841547403,-629.7975409916717,12,-47.29915300258904,-45.70103007664238,1.5981229259466545,2028.082191780822,1812.328767123288,313.10633829195206,7.880056720890025,0.4481822732954089,2,19
viola,89,1397.227676988355,-12.5,3833.488025146412,3338.42944234475,-495.05858280166194,12,-44.67852164137141,-45.69688916538004,-1.0183675240086316,2243.8356164383563,1812.328767123288,365.09788199646835,24.209051262841967,0.5226032779187657,1,15
viola,89,1397.227676988355,0.0,3833.488025146412,3364.1645891911057,-469.3234359553062,12,-50.26293964043422,-46.60594896739814,3.656990673036077,2200.6849315068494,1812.328767123288,392.8492715913955,18.941633668664508,0.5623267819002267,1,11
viola,89,1397.227676988355,12.5,3833.488025146412,3373.1653403231467,-460.32268482326526,12,-47.58195435848447,-46.43351564255034,1.1484387159341267,2200.6849315068494,1898.6301369863015,369.31520226883566,18.941633668664508,0.5286399752184608,1,13
viola,89,1397.227676988355,25.0,3833.488025146412,3311.343686840263,-522.1443383061487,12,-47.64201017775108,-45.04638359929698,2.5956265784541017,2243.8356164383563,2545.8904109589043,423.17228970462304,24.209051262841967,0.6057313302249308,1,13
viola,90,1480.7297171299356,-25.0,4041.5637580645766,3436.2622130216114,-605.3015450429652,12,-54.38955786812065,-46.78145876168107,7.608099106439575,2028.082191780822,1812.328767123288,389.0474502354452,8.68070419520609,0.5254807082409704,1,20
