stimulus,spectral_centroid_hz
stim318_school_bell.wav,8718.058868705133
stim31_blender.wav,3724.773582945666
stim320_scratching.wav,10254.740870494223
stim321_scream.wav,2402.871532491234
stim329_electric_shaver.wav,5925.171885098489
stim332_angry_shouting.wav,2159.6873514143376
stim334_shuffling_cards.wav,3845.5351068318723
stim337_siren.wav,1598.972768181001
stim33_bluegrass.wav,2264.2399503874453
stim347_songbird.wav,2766.5391316790656
stim349_water_splashing.wav,5720.289084604251
stim34_blues_band.wav,2449.4603164475534
stim352_spraying.wav,11780.796153161076
stim358_swimming.wav,2429.524593916488
stim35_boiling_water.wav,2374.923698388329
stim360_cymbal_crash.wav,4377.088645712071
stim364_tearing.wav,7897.269654087599
stim365_techno.wav,3268.545180014176
stim366_telephone_ringing.wav,8211.175954391361
stim368_thunder.wav,1373.4929453391317
stim370_toothbrushing.wav,7590.229015725749
stim371_squeaky_toy.wav,4812.763977734016
stim373_train_warning_bell.wav,2360.357169620642
stim375_train_whistle.wav,1662.3792789534614
stim383_truck_beeping_while_backing_up.wav,1675.6488418501515
stim384_trumpet_jazz_solo.wav,1568.2016956064315
stim387_typing.wav,3457.4630946778366
stim38_boy_speaking.wav,3789.837156438338
stim391_vacuum.wav,4089.4132431572025
stim392_velcro.wav,8630.618563619551
stim393_video_game_music.wav,3672.7587802941516
stim394_violin.wav,1816.2302320285626
stim398_walking_on_gravel.wav,5643.043607465733
stim399_walking_on_hard_surface.wav,4550.592198325902
stim401_walking_with_heels.wav,6076.284196672937
stim405_whispering.wav,4420.175484894028
stim406_whistling.wav,4661.493833357083
stim411_car_power_windows.wav,2318.5261392988414
stim414_woman_speaking.wav,3005.0473720432865
stim418_writing_on_paper.wav,8089.339540611307
stim41_breathing.wav,3950.9810952488556
stim420_zipper.wav,2682.1577058846874
stim422_baby_babbling.wav,2648.792436869689
stim434_classic_rock.wav,2767.5503755922346
stim437_contemporary_pop_song.wav,3927.109240666565
stim461_latin_music.wav,2510.5608863546454
stim465_song_from_a_musical.wav,2411.2689531163537
stim475_punk_music.wav,2314.3956643194592
stim477_reggae.wav,3119.0467628369474
stim480_rubbing_hands.wav,6531.214913105626
stim484_soundtrack_for_a_sad_movie_scene.wav,742.5429791242381
stim485_soul_music.wav,2945.1509694795755
stim486_sports_arena_buzzer.wav,2833.176463453646
stim488_busy_signal.wav,1600.4637685817565
stim490_soundtrack_from_a_western.wav,1953.5429573593756
stim498_computer_startup_sound.wav,1383.568468671271
stim501_spanish.wav,2386.3286013310976
stim502_french.wav,3770.303413728913
stim503_italian.wav,1885.0750439394444
stim504_german.wav,3013.6345828143512
stim505_chinese.wav,3395.733416135957
stim506_hindi.wav,2345.5776524097078
stim508_russian.wav,2290.221961909449
stim50_camera_snapping_photos.wav,8277.695360635063
stim510_crowd_laughing.wav,2581.5804536663845
stim512_heart_beat.wav,1199.3549763119447
stim513_running_water.wav,5990.908272059566
stim515_sports_anouncer.wav,2269.0607019015606
stim516_stream.wav,2555.05071585481
stim517_soundtrack_from_an_action_scene.wav,2477.9931314131272
stim51_car_accelerating.wav,2288.713290758394
stim523_computer-synthesized_speech.wav,2882.85943755456
stim524_cartoon_sound_effects.wav,1556.3326864765047
stim525_dog_panting.wav,2366.2763703276955
stim527_ringtone.wav,1388.8818900753254
stim52_car_alarm.wav,2661.3928355527464
stim59_car_engine_starting.wav,2143.0514791665946
stim5_alarm_clock.wav,2983.5835641675712
