,condition,stimulus,feature,value,midi,frequency,value_ortho_freq
38,harmoniccomplex,stim_84_harmonic,centroid,1162.7802260832627,84,1046.5022612023945,-481.22681527875875
39,harmoniccomplex,stim_85_harmonic,centroid,1231.9175733307566,85,1108.7305239074883,-492.9757732192977
40,harmoniccomplex,stim_86_harmonic,centroid,1305.167030274199,86,1174.6590716696303,-505.42237146165894
41,harmoniccomplex,stim_87_harmonic,centroid,1382.7864161612265,87,1244.5079348883237,-518.5947933761679
42,harmoniccomplex,stim_88_harmonic,centroid,1465.0112238681968,88,1318.5102276514797,-532.5605553050877
43,harmoniccomplex,stim_89_harmonic,centroid,1552.1318138888028,89,1396.9129257320158,-547.3503238391058
44,harmoniccomplex,stim_90_harmonic,centroid,1644.4200602338694,90,1479.9776908465376,-563.032341315585
45,harmoniccomplex,stim_91_harmonic,centroid,1742.2021582413768,91,1567.9817439269968,-579.6407531152431
46,harmoniccomplex,stim_92_harmonic,centroid,1845.7911382106704,92,1661.2187903197807,-597.2442966315866
47,harmoniccomplex,stim_93_harmonic,centroid,1955.5552656793495,93,1760.0,-615.8791751082115
48,harmoniccomplex,stim_94_harmonic,centroid,2071.8293291378804,94,1864.6550460723593,-635.6391198011493
49,harmoniccomplex,stim_95_harmonic,centroid,2195.036775009334,95,1975.533205024497,-656.5546851439503
50,harmoniccomplex,stim_96_harmonic,centroid,2325.560289267752,96,2093.004522404789,-678.7241823149643
51,harmoniccomplex,stim_97_harmonic,centroid,2463.8473538043527,97,2217.4610478149766,-702.2097281544293
52,harmoniccomplex,stim_98_harmonic,centroid,2610.3596658877213,98,2349.318143339261,-727.0895264426686
53,harmoniccomplex,stim_99_harmonic,centroid,2765.572846665857,99,2489.0158697766474,-753.4599612676052
0,viola_complex,stim_100_viola_complex,centroid,4655.6101921939735,100,2637.020455302959,944.1962449887315
1,viola_complex,stim_101_viola_complex,centroid,4558.54836693846,101,2793.8258514640315,643.3137026239701
2,viola_complex,stim_102_viola_complex,centroid,4672.847538486734,102,2959.955381693075,541.6723465291516
3,viola_complex,stim_103_viola_complex,centroid,4969.186199959506,103,3135.9634878539937,609.229988387593
4,viola_complex,stim_104_viola_complex,centroid,6051.010560765026,104,3322.4375806395615,1448.6693022218387
5,viola_complex,stim_105_viola_complex,centroid,5505.969147623831,105,3520.0,646.8298771900354
6,viola_complex,stim_106_viola_complex,centroid,5610.202292314471,106,3729.3100921447217,478.99500557773445
7,viola_complex,stim_107_viola_complex,centroid,6010.885245143758,107,3951.066410048992,591.4319359785168
8,viola_complex,stim_108_viola_complex,centroid,6223.071694077776,108,4186.009044809578,498.232362053669
9,viola_complex,stim_55_viola_complex,centroid,214.4220990073756,55,195.99771799087463,-324.0716746608626
10,viola_complex,stim_56_viola_complex,centroid,383.579616215552,56,207.65234878997256,-170.06322288839084
