timestamp,subject,task,idx,stim,frequency,direction,azimuth,elevation
2024-09-20 13:57:57.904178,	Sub00,	absolute,	53,	"(523.2511306011972, 22)",	523.2511306011972,	22,	1,	2
2024-09-20 13:57:57.904234,	Sub00,	absolute,	54,	"(622.2539674441618, 22)",	622.2539674441618,	22,	1,	2
2024-09-20 13:57:57.904294,	Sub00,	absolute,	55,	"(293.66476791740763, 23)",	293.66476791740763,	23,	1,	2
2024-09-20 13:57:57.904350,	Sub00,	absolute,	56,	"(195.99771799087466, 22)",	195.99771799087466,	22,	1,	2
2024-09-20 13:57:57.904406,	Sub00,	absolute,	57,	"(329.62755691286986, 24)",	329.62755691286986,	24,	1,	2
2024-09-20 13:57:57.904467,	Sub00,	absolute,	58,	"(391.9954359817492, 21)",	391.9954359817492,	21,	1,	2
2024-09-20 13:57:57.904527,	Sub00,	absolute,	59,	"(277.1826309768721, 25)",	277.1826309768721,	25,	1,	2
2024-09-20 13:57:57.904583,	Sub00,	absolute,	60,	"(220.0, 21)",	220.0,	21,	1,	2
2024-09-20 13:57:57.904636,	Sub00,	absolute,	61,	"(184.9972113558172, 22)",	184.9972113558172,	22,	1,	2
2024-09-20 13:57:57.904692,	Sub00,	absolute,	62,	"(659.2551138257397, 24)",	659.2551138257397,	24,	1,	2
2024-09-20 13:57:57.904746,	Sub00,	absolute,	63,	"(987.7666025122485, 22)",	987.7666025122485,	22,	1,	2
2024-09-20 13:57:57.904802,	Sub00,	absolute,	64,	"(783.9908719634984, 25)",	783.9908719634984,	25,	1,	2
2024-09-20 13:57:57.904863,	Sub00,	absolute,	65,	"(830.6093951598904, 24)",	830.6093951598904,	24,	1,	2
2024-09-20 13:57:57.904919,	Sub00,	absolute,	66,	"(329.62755691286986, 25)",	329.62755691286986,	25,	1,	2
2024-09-20 13:57:57.904975,	Sub00,	absolute,	67,	"(369.9944227116344, 22)",	369.9944227116344,	22,	1,	2
2024-09-20 13:57:57.905031,	Sub00,	absolute,	68,	"(195.99771799087466, 23)",	195.99771799087466,	23,	1,	2
2024-09-20 13:57:57.905086,	Sub00,	absolute,	69,	"(466.1637615180898, 24)",	466.1637615180898,	24,	1,	2
2024-09-20 13:57:57.905142,	Sub00,	absolute,	70,	"(184.9972113558172, 24)",	184.9972113558172,	24,	1,	2
2024-09-20 13:57:57.905197,	Sub00,	absolute,	71,	"(207.65234878997256, 24)",	207.65234878997256,	24,	1,	2
2024-09-20 13:57:57.905253,	Sub00,	absolute,	72,	"(659.2551138257397, 23)",	659.2551138257397,	23,	1,	2
2024-09-20 13:57:57.905309,	Sub00,	absolute,	73,	"(1244.5079348883237, 22)",	1244.5079348883237,	22,	1,	2
2024-09-20 13:57:57.905372,	Sub00,	absolute,	74,	"(987.7666025122485, 21)",	987.7666025122485,	21,	1,	2
2024-09-20 13:57:57.905432,	Sub00,	absolute,	75,	"(293.66476791740763, 21)",	293.66476791740763,	21,	1,	2
2024-09-20 13:57:57.905487,	Sub00,	absolute,	76,	"(195.99771799087466, 25)",	195.99771799087466,	25,	1,	2
2024-09-20 13:57:57.905543,	Sub00,	absolute,	77,	"(391.9954359817492, 22)",	391.9954359817492,	22,	1,	2
2024-09-20 13:57:57.905602,	Sub00,	absolute,	78,	"(164.813778456435, 25)",	164.813778456435,	25,	1,	2
2024-09-20 13:57:57.905658,	Sub00,	absolute,	79,	"(739.9888454232688, 22)",	739.9888454232688,	22,	1,	2
2024-09-20 13:57:57.905752,	Sub00,	absolute,	80,	"(369.9944227116344, 22)",	369.9944227116344,	22,	1,	2
2024-09-20 13:57:57.905808,	Sub00,	absolute,	81,	"(415.3046975799452, 24)",	415.3046975799452,	24,	1,	2
2024-09-20 13:57:57.905863,	Sub00,	absolute,	82,	"(391.9954359817492, 23)",	391.9954359817492,	23,	1,	2
2024-09-20 13:57:57.905918,	Sub00,	absolute,	83,	"(659.2551138257397, 23)",	659.2551138257397,	23,	1,	2
2024-09-20 13:58:01.062408,	Sub00,	absolute,	84,	"(184.9972113558172, 25)",	184.9972113558172,	25,	1,	2
2024-09-20 13:58:01.064162,	Sub00,	absolute,	85,	"(293.66476791740763, 23)",	293.66476791740763,	23,	1,	2
2024-09-20 13:58:01.064426,	Sub00,	absolute,	86,	"(261.6255653005986, 25)",	261.6255653005986,	25,	1,	2
2024-09-20 13:58:01.064599,	Sub00,	absolute,	87,	"(311.1269837220809, 22)",	311.1269837220809,	22,	1,	2
2024-09-20 13:58:01.064743,	Sub00,	absolute,	88,	"(369.9944227116344, 25)",	369.9944227116344,	25,	1,	2
2024-09-20 13:58:01.064876,	Sub00,	absolute,	89,	"(554.3652619537442, 24)",	554.3652619537442,	24,	1,	2
2024-09-20 13:58:01.065020,	Sub00,	absolute,	90,	"(195.99771799087466, 21)",	195.99771799087466,	21,	1,	2
2024-09-20 13:58:01.065151,	Sub00,	absolute,	91,	"(369.9944227116344, 25)",	369.9944227116344,	25,	1,	2
2024-09-20 13:58:01.065278,	Sub00,	absolute,	92,	"(659.2551138257397, 21)",	659.2551138257397,	21,	1,	2
2024-09-20 13:58:01.065404,	Sub00,	absolute,	93,	"(220.0, 23)",	220.0,	23,	1,	2
2024-09-20 13:58:01.065527,	Sub00,	absolute,	94,	"(987.7666025122485, 21)",	987.7666025122485,	21,	1,	2
2024-09-20 13:58:01.065650,	Sub00,	absolute,	95,	"(1244.5079348883237, 24)",	1244.5079348883237,	24,	1,	2
2024-09-20 13:58:01.065774,	Sub00,	absolute,	96,	"(739.9888454232688, 24)",	739.9888454232688,	24,	1,	2
2024-09-20 13:58:01.065895,	Sub00,	absolute,	97,	"(293.66476791740763, 25)",	293.66476791740763,	25,	1,	2
2024-09-20 13:58:01.066018,	Sub00,	absolute,	98,	"(277.1826309768721, 22)",	277.1826309768721,	22,	1,	2
2024-09-20 13:58:01.066141,	Sub00,	absolute,	99,	"(391.9954359817492, 25)",	391.9954359817492,	25,	1,	2
2024-09-20 13:58:01.066263,	Sub00,	absolute,	100,	"(493.88330125612424, 25)",	493.88330125612424,	25,	1,	2
2024-09-20 13:58:01.066386,	Sub00,	absolute,	101,	"(391.9954359817492, 22)",	391.9954359817492,	22,	1,	2
2024-09-20 13:58:01.066510,	Sub00,	absolute,	102,	"(440.0, 21)",	440.0,	21,	1,	2
