onset_sec,note,velocity,offset,duration,freq
44.0,67.0,80.0,44.235416666666666,0.23541666666666572,391.9954359817492
44.25,65.0,80.0,44.485416666666666,0.23541666666666572,349.22823143300394
44.5,64.0,80.0,44.735416666666666,0.23541666666666572,329.62755691286986
44.75,65.0,80.0,44.985416666666666,0.23541666666666572,349.22823143300394
45.0,67.0,80.0,45.235416666666666,0.23541666666666572,391.9954359817492
45.25,69.0,80.0,45.485416666666666,0.23541666666666572,440.0
45.5,71.0,80.0,45.735416666666666,0.23541666666666572,493.88330125612424
45.75,67.0,80.0,45.985416666666666,0.23541666666666572,391.9954359817492
46.0,72.0,80.0,46.235416666666666,0.23541666666666572,523.2511306011972
46.25,74.0,80.0,46.485416666666666,0.23541666666666572,587.3295358348153
46.5,76.0,80.0,46.735416666666666,0.23541666666666572,659.2551138257397
46.75,76.0,80.0,46.985416666666666,0.23541666666666572,659.2551138257397
47.0,72.0,80.0,47.947916666666664,0.9479166666666643,523.2511306011972
48.5,67.0,80.0,48.735416666666666,0.23541666666666572,391.9954359817492
48.75,66.0,80.0,48.985416666666666,0.23541666666666572,369.9944227116344
49.0,67.0,80.0,49.47291666666667,0.47291666666667,391.9954359817492
49.5,55.0,80.0,49.97291666666667,0.47291666666667,195.99771799087466
50.0,60.0,80.0,50.47291666666667,0.47291666666667,261.6255653005986
50.5,63.0,80.0,50.97291666666667,0.47291666666667,311.1269837220809
51.0,62.0,80.0,51.47291666666667,0.47291666666667,293.66476791740763
51.5,65.0,80.0,51.97291666666667,0.47291666666667,349.22823143300394
52.0,63.0,80.0,52.47291666666667,0.47291666666667,311.1269837220809
52.5,60.0,80.0,52.735416666666666,0.23541666666666572,261.6255653005986
52.75,59.0,80.0,52.985416666666666,0.23541666666666572,246.94165062806212
53.0,60.0,80.0,53.47291666666667,0.47291666666667,261.6255653005986
53.5,48.0,80.0,53.97291666666667,0.47291666666667,130.8127826502993
54.0,55.0,80.0,54.47291666666667,0.47291666666667,195.99771799087466
